,Number of Carbons,Species,End Weight,End mol fraction
0,7.0,CCCCCCC,27.9217361302,0.278648806278
1,,[Ar],-1.29533635014e-23,-3.24255619841e-25
2,,[He],-3.33509650908e-23,-8.33232526129e-24
3,,[Ne],2.23487742788e-23,1.10748793485e-24
4,,N#N,-1.5211375605e-23,-5.4300199779e-25
5,2.0,C=C,4.32119270512e-05,1.54032568366e-06
6,4.0,C=CCC,6.58220113486e-06,1.17314062979e-07
7,4.0,CC=CC,4.7859073113e-05,8.52988567539e-07
8,4.0,C=CC=C,4.78439183594e-07,8.84497463182e-09
9,6.0,C=CC=CC=C,9.98142231046e-09,1.24566106355e-10
10,3.0,C=CC,0.000168574375864,4.00598412629e-06
11,,[H][H],1.32554896935e-06,6.57553509805e-07
12,8.0,C=CC=CC=CC=C,1.39281370829e-10,1.31190337927e-12
13,2.0,CC,0.0611743288156,0.00203442172289
14,6.0,C=CC(=C)CC,1.05561621349e-08,1.28505821809e-10
15,8.0,C=CC=CC(=C)CC,2.77873154998e-09,2.56854067466e-11
16,8.0,C=CC=C(C=C)CC,2.51192681466e-09,2.32191778125e-11
17,1.0,C,11.5359968928,0.719078069656
18,5.0,C=CC(=C)C,1.48282992783e-06,2.17683814597e-08
19,5.0,C=CC=CC,1.67509391126e-06,2.45908735431e-08
20,7.0,C=CC=CC(=C)C,7.09002561955e-09,7.53005172197e-11
21,3.0,CCC,0.0100566416593,0.000228059757535
22,8.0,C=CC(CC)C(=C)C,1.13675316731e-10,1.03154431241e-12
23,8.0,C=C(C)CC(=C)CC,4.13787113625e-10,3.7549026111e-12
24,8.0,C=C(CC)C(=C)CC,1.30034860406e-09,1.1799986534e-11
25,7.0,C=C(C)C(=C)CC,4.74960505995e-08,4.93864246532e-10
26,10.0,C=C(C=CC(=C)CC)CC,1.4681712642e-10,1.07765939733e-12
27,4.0,C=C(C)C,0.000191264509946,3.40889260381e-06
28,6.0,C=C(C)C(=C)C,2.3683579803e-07,2.88312915914e-09
29,8.0,C=CC(C=CC)=CC,3.00686706111e-10,2.77941939005e-12
30,10.0,C=CC=CC(=CCC)CC,3.02348712293e-10,2.21928421443e-12
31,10.0,C=CC=C(CC)C(=C)CC,3.4637437246e-10,2.542439064e-12
32,8.0,C=CC=CC(C)CC,3.6972360155e-09,3.35504918141e-11
33,12.0,C=C(C=C(CC)C(=C)CC)CC,1.75661246818e-11,1.06920927294e-13
34,10.0,C=C(C)C(CC)C(=C)CC,6.27967434448e-10,4.54216398792e-12
35,10.0,C=CC(CC)(CC)C(=C)C,1.83434091858e-11,1.32680085063e-13
36,12.0,C=C(C=CC(=CCC)CC)CC,2.795654988e-11,1.701650359e-13
37,10.0,C=C(CC)C(C=CC)=CC,4.14977688745e-11,3.04599754035e-13
38,7.0,C=CC=CCCC,5.72676536637e-09,5.95469439465e-11
39,8.0,C=CC=C(C)CCC,1.34860233612e-08,1.22378640283e-10
40,10.0,C=C(C=C(C)CCC)CC,1.60869878308e-09,1.16359117991e-11
41,9.0,C=CC=C(CC)CCC,1.11982280011e-09,9.01439666039e-12
42,12.0,C=C(C)C(CC)(CC)C(=C)CC,1.21001375145e-11,7.27579764958e-14
43,8.0,C=CC(=CC)CCC,4.18672908559e-09,3.79923865626e-11
44,12.0,C=C(CC)C(C=C(C)CC)=CC,3.73090068105e-12,2.27091272369e-14
45,7.0,C=C(CC)CCC,2.57834369867e-08,2.62592118915e-10
46,12.0,C=C(CC)CC(CC)C(=C)CC,4.45520401839e-11,2.67890863938e-13
47,12.0,C=C(CC)C(CC)C(=C)CCC,4.70978424303e-11,2.83198741207e-13
